player_id	last_name	first_name	team	position	total_games	total_score	average_score	price	breakeven	projected_score	projected_price	projected_price_change	active	
143	Alick-Wiencke	Jacob	GCT	2RF	0	0	0	295100	31	34	295100	0	True	
144	Brimson	Alexander	GCT	5/8	2	64	32	539200	105	38	485000	-54200	True	
145	Campbell	Jayden	GCT	5/8	2	163	81.5	700200	56	63	705800	5600	True	
146	Campbell-Gillard	Reagan	GCT	FRF	2	62	31	495600	93	46	457400	-38200	True	
147	de Groot	Jaylan	GCT	CTW	0	0	0	232600	24	33	232600	0	True	
148	Fa'asuamaleaui	Iszac	GCT	FRF	1	6	6	232600	43	16	232600	0	True	
149	Fa'asuamaleaui	Tino	GCT	2RF	2	170	85	531300	-4	52	576600	45300	True	
150	Fermor	Beau	GCT	2RF	2	148	74	593100	38	72	621000	27900	True	
151	Fifita	David	GCT	2RF	2	89	44.5	749400	146	45	667900	-81500	True	
152	Fifita	Jojo	GCT	CTW	2	110	55	487400	43	36	482200	-5200	True	
153	Foran	Kieran	GCT	5/8	0	0	0	461500	48	27	461500	0	True	
154	Foran	Ryan	GCT	2RF	0	0	0	198800	21	20	198800	0	True	
155	Fotuaika	Moeaki	GCT	FRF	2	92	46	464000	53	49	460600	-3400	True	
156	Francis	Tony	GCT	CTW	1	14	14	232600	35	21	232600	0	True	
157	Gordon	Carter	GCT	CTW	0	0	0	336000	35	34	336000	0	True	
158	Haas	Klese	GCT	2RF	2	78	39	404500	49	45	401600	-2900	True	
159	Harrison	Zane	GCT	HFB	0	0	0	198800	21	20	198800	0	True	
160	Hau	Arama	GCT	FRF	0	0	0	232600	24	22	232600	0	True	
161	Jolliffe	Jaimin	GCT	FRF	1	32	32	482700	70	46	482700	0	True	
162	Kelly	Brian	GCT	CTW	2	107	53.5	587800	77	47	563500	-24300	True	
163	Khan-Pereira	Alofiana	GCT	CTW	1	71	71	508600	36	54	508600	0	True	
164	Kini	Keano	GCT	FLB	2	130	65	707900	92	76	695300	-12600	True	
165	Liyou	Ben	GCT	FRF	0	0	0	198800	21	20	198800	0	True	
166	Maumalo	Ken	GCT	CTW	0	0	0	214000	22	20	214000	0	True	
167	Pahulu	Josiah	GCT	FRF	0	0	0	254000	26	23	254000	0	True	
168	Randall	Chris	GCT	HOK	2	59	29.5	510300	101	52	470800	-39500	True	
169	Sami	Phillip	GCT	CTW	2	106	53	585100	77	55	567200	-17900	True	
170	Simpkins	Tukimihia	GCT	2RF	0	0	0	198800	21	20	198800	0	True	
171	Smith-Shields	Harley	GCT	CTW	0	0	0	250600	26	28	250600	0	True	
172	Stephenson	Sam	GCT	CTW	0	0	0	198800	21	20	198800	0	True	
173	Verrills	Sam	GCT	HOK	2	116	58	416400	14	55	449400	33000	True	
174	Anderson	Grant	MEL	CTW	1	49	49	444700	45	43	444700	0	True	
175	Asofa-Solomona	Nelson	MEL	FRF	1	7	7	363300	70	37	363300	0	True	
176	Blore	Shawn	MEL	2RF	2	96	48	534200	71	47	514600	-19600	True	
177	Chan	Joe	MEL	2RF	0	0	0	267000	28	26	267000	0	True	
178	Coates	Xavier	MEL	CTW	2	115	57.5	497000	41	52	506300	9300	True	
179	Fa'alogo	Sua	MEL	CTW	0	0	0	527200	55	64	527200	0	True	
180	Garlick	Bronson	MEL	HOK	0	0	0	260400	27	40	260400	0	True	
181	Grant	Harry	MEL	HOK	2	87	43.5	691600	129	81	652300	-39300	True	
182	Howarth	Jack	MEL	CTW	2	135	67.5	426200	-2	51	468900	42700	True	
183	Huen	Stanley	MEL	5/8	0	0	0	198800	21	20	198800	0	True	
184	Hughes	Jahrome	MEL	HFB	2	122	61	805200	130	103	783300	-21900	True	
185	Kamikamica	Tui	MEL	FRF	2	80	40	342600	27	35	349000	6400	True	
186	Katoa	Eliesa	MEL	2RF	2	162	81	717300	62	64	718500	1200	True	
187	King	Josh	MEL	FRF	2	122	61	488200	31	53	506200	18000	True	
188	Leo	Moses	MEL	CTW	0	0	0	214000	22	22	214000	0	True	
189	Loiero	Trent	MEL	2RF	2	78	39	512400	82	48	484500	-27900	True	
190	MacDonald	Alec	MEL	2RF	2	56	28	341100	51	30	324300	-16800	True	
191	Meaney	Nick	MEL	CTW	2	144	72	619000	50	72	637100	18100	True	
192	Munster	Cameron	MEL	5/8	2	160	80	609000	31	69	640200	31200	True	
193	Papenhuyzen	Ryan	MEL	FLB	2	197	98.5	616700	-4	48	658900	42200	True	
194	Pezet	Jonah	MEL	5/8	0	0	0	276100	29	31	276100	0	True	
195	Utoikamanu	Stefano	MEL	FRF	2	70	35	529000	96	44	487100	-41900	True	
196	Vaalepu	Lazarus	MEL	FRF	1	29	29	232600	20	31	232600	0	True	
197	Warbrick	William	MEL	CTW	1	43	43	522500	68	97	522500	0	True	
198	*** Welch	Christian	MEL	FRF	0	0	0	400200	42	43	400200	0	False	
199	Wishart	Tyran	MEL	5/8	2	85	42.5	556700	89	73	543500	-13200	True	
200	Aloiai	Josh	MNL	FRF	2	70	35	337200	36	34	335900	-1300	True	
201	Arthur	Jakob	MNL	HFB	0	0	0	232600	24	44	232600	0	True	
202	Brooks	Luke	MNL	5/8	3	105	35	479900	83	40	444900	-35000	True	
203	Brown	Nathan	MNL	2RF	0	0	0	387600	40	34	387600	0	True	
204	Bullemor	Ethan	MNL	FRF	3	183	61	414900	12	38	436100	21200	True	
205	Chan Kum Tong	Gordon	MNL	HOK	0	0	0	232600	24	15	232600	0	True	
206	Chee-Kam	Michael	MNL	2RF	0	0	0	374400	39	36	374400	0	True	
207	Cherry-Evans	Daly	MNL	HFB	3	283	94.3333	711900	70	72	713700	1800	True	
208	Croker	Lachlan	MNL	HOK	0	0	0	334200	35	28	334200	0	True	
209	Faulalo	Clayton	MNL	CTW	2	36	18	232600	37	28	225500	-7100	True	
210	Garrick	Reuben	MNL	CTW	3	297	99	748500	23	108	817300	68800	True	
211	Hopoate	Lehi	MNL	FLB	3	167	55.6667	575000	79	57	557200	-17800	True	
212	James	Aitasi	MNL	2RF	0	0	0	232600	24	21	232600	0	True	
213	Koula	Tolutau	MNL	CTW	2	57	28.5	455400	86	45	422600	-32800	True	
214	Matterson	Dean	MNL	2RF	0	0	0	214000	22	15	214000	0	True	
215	Navale	Caleb	MNL	2RF	0	0	0	236400	25	32	236400	0	True	
216	Olakau'atu	Haumole	MNL	2RF	3	227	75.6667	680900	86	67	665400	-15500	True	
217	Paseka	Taniela	MNL	FRF	3	144	48	446500	67	41	425700	-20800	True	
218	Patolo	Chris	MNL	FRF	0	0	0	232600	24	8	232600	0	True	
219	Saab	Jason	MNL	CTW	3	245	81.6667	593200	48	106	640500	47300	True	
220	Schoupp	Aaron	MNL	CTW	0	0	0	242100	25	36	242100	0	True	
221	Simpkin	Jake	MNL	HOK	3	125	41.6667	338700	22	28	343600	4900	True	
222	Sipley	Toafofoa	MNL	FRF	2	104	52	368200	11	44	394800	26600	True	
223	Talau	Tommy	MNL	CTW	0	0	0	526300	55	46	526300	0	True	
224	Taukei'aho	Siua	MNL	2RF	2	75	37.5	453300	67	43	433900	-19400	True	
225	Tevaga	Jazz	MNL	2RF	3	79	26.3333	339300	56	36	322900	-16400	True	
226	Trbojevic	Ben	MNL	CTW	3	141	47	427600	40	28	418000	-9600	True	
227	Trbojevic	Jake	MNL	2RF	3	122	40.6667	474400	77	47	449700	-24700	True	
228	Trbojevic	Tom	MNL	FLB	2	172	86	875600	102	80	857800	-17800	True	
229	Tuaimalo Vaega	Raymond	MNL	CTW	0	0	0	349500	36	47	349500	0	True	
230	Walsh	Joey	MNL	HFB	0	0	0	198800	21	20	198800	0	True	
231	Annan	Taj	NEW	CTW	0	0	0	214000	22	0	214000	0	True	
232	Arthur	Matt	NEW	HOK	0	0	0	232600	24	0	232600	0	True	
233	Best	Bradman	NEW	CTW	3	248	82.6667	622700	-13	0	622700	0	True	
234	Brailey	Jayden	NEW	HOK	3	75	25	370200	75	0	370200	0	True	
235	Bryan	Paul	NEW	FRF	0	0	0	198800	21	0	198800	0	True	
236	Cant	Thomas	NEW	2RF	1	88	88	274100	-30	0	274100	0	True	
237	Cogger	Jack	NEW	HFB	3	81	27	365200	60	0	365200	0	True	
238	Croker	Matt	NEW	2RF	3	129	43	365700	18	0	365700	0	True	
239	Crossland	Phoenix	NEW	HFB	3	123	41	354800	39	0	354800	0	True	
240	De Courcey	Wilson	NEW	CTW	0	0	0	198800	21	0	198800	0	True	
241	Elliott	Adam	NEW	2RF	2	131	65.5	561100	45	0	561100	0	True	
242	Frizell	Tyson	NEW	2RF	3	122	40.6667	493000	73	0	493000	0	True	
243	Gagai	Dane	NEW	CTW	3	174	58	659400	80	0	659400	0	True	
244	Gamble	Tyson	NEW	5/8	0	0	0	418700	44	0	418700	0	True	
245	Hastings	Jackson	NEW	HFB	0	0	0	554300	58	0	554300	0	True	
246	Hetherington	Jack	NEW	2RF	3	74	24.6667	297600	46	0	297600	0	True	
247	Hopwood	Cody	NEW	FRF	0	0	0	198800	21	0	198800	0	True	
248	Jones	Brodie	NEW	2RF	2	49	24.5	324200	52	0	324200	0	True	
249	Jones	Riley	NEW	HOK	0	0	0	214000	22	0	214000	0	True	
250	Lucas	Dylan	NEW	2RF	2	172	86	616700	21	0	616700	0	True	
251	Manuleleua	Francis	NEW	2RF	0	0	0	214000	22	0	214000	0	True	
252	Marzhew	Greg	NEW	CTW	3	205	68.3333	549600	50	0	549600	0	True	
253	McEwen	Jermaine	NEW	2RF	1	31	31	198800	11	0	198800	0	True	
254	Pearce-Paul	Kai	NEW	2RF	2	105	52.5	525300	59	0	525300	0	True	
255	Ponga	Kalyn	NEW	FLB	3	256	85.3333	797400	76	0	797400	0	True	
256	Pryce	Will	NEW	5/8	0	0	0	310100	32	0	310100	0	True	
257	Saifiti	Jacob	NEW	FRF	3	107	35.6667	435500	70	0	435500	0	True	
258	Schiller	James	NEW	CTW	3	182	60.6667	532100	36	0	532100	0	True	
259	Sharpe	Fletcher	NEW	FLB	3	219	73	652500	68	0	652500	0	True	
260	Su'a	Sebastian	NEW	FRF	0	0	0	232600	24	0	232600	0	True	
261	Thompson	Leo	NEW	FRF	2	99	49.5	494800	56	0	494800	0	True	
262	Thompson	Tyrone	NEW	2RF	0	0	0	198800	21	0	198800	0	True	
263	Votano	Connor	NEW	FLB	0	0	0	198800	21	0	198800	0	True	
264	Bateman	John	NQC	2RF	3	157	52.3333	517500	68	56	507800	-9700	True	
265	Bitungane	Emarly	NQC	2RF	0	0	0	198800	21	20	198800	0	True	
266	Burns	Braidon	NQC	CTW	2	85	42.5	559900	90	54	530500	-29400	True	
267	Chester	Tom	NQC	CTW	0	0	0	278800	29	29	278800	0	True	
268	Clifford	Jake	NQC	HFB	1	50	50	533000	63	70	533000	0	True	
269	Cotter	Reuben	NQC	2RF	3	127	42.3333	521000	75	42	494200	-26800	True	
270	Dearden	Thomas	NQC	5/8	3	67	22.3333	500300	108	38	443900	-56400	True	
271	Derby	Robert	NQC	CTW	1	34	34	214000	11	28	214000	0	True	
272	Drinkwater	Scott	NQC	FLB	3	189	63	728000	111	69	694000	-34000	True	
273	Duffy	Tom	NQC	HFB	2	49	24.5	198800	13	22	205900	7100	True	
274	Edwards	Harrison	NQC	2RF	2	87	43.5	317400	12	38	338200	20800	True	
275	Herdegen	Zac	NQC	HFB	0	0	0	198800	21	20	198800	0	True	
276	Hess	Coen	NQC	2RF	3	104	34.6667	328400	36	35	327800	-600	True	
277	Kira	Mason	NQC	2RF	0	0	0	198800	21	20	198800	0	True	
278	Lahrs	Kaiden	NQC	FRF	0	0	0	198800	21	20	198800	0	True	
279	Lawton	Karl	NQC	2RF	2	36	18	330600	67	22	293700	-36900	True	
280	Laybutt	Zac	NQC	CTW	0	0	0	389600	41	39	389600	0	True	
281	Luki	Heilum	NQC	2RF	0	0	0	505600	53	42	505600	0	True	
282	McIntyre	Sam	NQC	2RF	3	137	45.6667	407000	43	49	411500	4500	True	
283	McLean	Jordan	NQC	FRF	3	104	34.6667	363700	42	35	358200	-5500	True	
284	Mikaele	Thomas	NQC	FRF	0	0	0	276500	29	31	276500	0	True	
285	Nanai	Jeremiah	NQC	2RF	2	41	20.5	619500	153	32	521400	-98100	True	
286	Neame	Griffin	NQC	FRF	3	115	38.3333	393400	39	38	392500	-900	True	
287	O'Donnell	Kai	NQC	2RF	2	71	35.5	336000	34	35	336700	700	True	
288	Paulo	Jaxson	NQC	CTW	0	0	0	335300	35	28	335300	0	True	
289	Purdue	Jaxon	NQC	CTW	3	131	43.6667	298000	-10	34	333500	35500	True	
290	Robson	Reece	NQC	HOK	3	101	33.6667	522500	90	46	487200	-35300	True	
291	Shibasaki	Jamal	NQC	FRF	0	0	0	232600	24	20	232600	0	True	
292	Sullivan	Wil	NQC	FRF	0	0	0	198800	21	20	198800	0	True	
293	Taulagi	Murray	NQC	CTW	3	127	42.3333	554500	70	53	541000	-13500	True	
294	Taumalolo	Jason	NQC	FRF	1	51	51	359400	24	41	359400	0	True	
295	Vailea	Viliami	NQC	CTW	3	118	39.3333	400700	79	39	368000	-32700	True	
296	Valemei	Semi	NQC	CTW	0	0	0	386400	40	39	386400	0	True	
297	Afoa	Bunty	NZL	2RF	0	0	0	242600	25	23	242600	0	True	
298	Ale	Tom	NZL	FRF	0	0	0	245400	26	22	245400	0	True	
299	Barnett	Mitchell	NZL	2RF	3	149	49.6667	614100	98	57	580700	-33400	True	
300	Berry	Rocco	NZL	CTW	0	0	0	438900	46	44	438900	0	True	
301	Boyd	Tanah	NZL	5/8	0	0	0	329600	34	28	329600	0	True	
302	Capewell	Kurt	NZL	2RF	3	144	48	482800	58	50	476300	-6500	True	
303	Capper	Kahu	NZL	CTW	0	0	0	198800	21	20	198800	0	True	
304	Clark	Erin	NZL	2RF	3	154	51.3333	416800	23	39	429400	12600	True	
305	Cleary	Jett	NZL	HFB	0	0	0	198800	21	20	198800	0	True	
306	Egan	Wayde	NZL	HOK	3	213	71	539500	4	62	586700	47200	True	
307	Fisher-Harris	James	NZL	FRF	3	186	62	560600	50	80	584600	24000	True	
308	Ford	Jackson	NZL	2RF	3	151	50.3333	531500	65	62	528800	-2700	True	
309	Going	Kalani	NZL	2RF	0	0	0	198800	21	20	198800	0	True	
310	Halasima	Leka	NZL	2RF	3	84	28	241700	15	20	246100	4400	True	
311	*** Harris	Tohu	NZL	2RF	0	0	0	555200	58	62	555200	0	False	
312	Harris-Tavita	Chanel	NZL	5/8	3	175	58.3333	388500	-2	50	431000	42500	True	
313	Healey	Sam	NZL	HOK	0	0	0	198800	21	20	198800	0	True	
314	Kosi	Edward	NZL	CTW	0	0	0	324200	34	48	324200	0	True	
315	Laban	Jacob	NZL	2RF	0	0	0	232600	24	28	232600	0	True	
316	Leiataua	Ali	NZL	CTW	3	203	67.6667	548100	2	70	603700	55600	True	
317	Lussick	Freddy	NZL	HOK	0	0	0	272000	28	23	272000	0	True	
318	Maiu'u	Zyon	BUL	2RF	0	0	0	232600	24	20	232600	0	True	
319	Martin	Te Maire	NZL	5/8	0	0	0	663200	69	67	663200	0	True	
320	Metcalf	Luke	NZL	5/8	3	152	50.6667	453800	2	50	492700	38900	True	
321	Nicoll-Klokstad	Charnze	NZL	FLB	3	183	61	643000	48	64	655800	12800	True	
322	Niukore	Marata	NZL	2RF	3	91	30.3333	377400	51	36	365200	-12200	True	
323	Pasikala	Motu	NZL	FLB	0	0	0	198800	21	20	198800	0	True	
